REV_NUMBER,REV_ALPHABET,CABLE_SIZE,PROCURED_BY,CABLE_TAG,START_EQPT,END_EQPT,LENGTH_SRRL,NO_OF_RUNS,TOTAL_DESIGN_LENGTH,CABLE_ROUTE,TIMESTAMP,LENGTH_VARIANCE
2,A,2X1.5-x,Unknown,MDG1-8A,STBY SW PUMP (721.001.010) STARTER PANEL,STBY SW PUMP (721.001.010) MOTOR  THERMISTOR ,20.0,1.0,20.0,"066_SCH20-C-3A, 066_L20C-C-4A, THROUGH METALLIC FIXED CONDUIT, 3P, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:53:30,0.0
2,A,2X1.5-x,Unknown,MDG1-8B,STBY SW PUMP (721.001.010) STARTER PANEL,STBY SW PUMP (721.001.010) MOTOR SPACE HEATER,20.0,1.0,20.0,"066_SCH20-C-3A, 066_L20C-C-4A, THROUGH METALLIC FIXED CONDUIT, 3P, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:53:30,0.0
2,A,5X1.5-e,Unknown,MDG1-9B,FUEL SOLENOID,SKID MOUNTED 3MW PORT DG LCP,25.0,1.0,25.0,LOCAL ROUTE,2023-09-12 10:55:12,0.0
2,A,OEM,Unknown,GMMCOCABLE,ENGINE MOUNTED JB,SKID MOUNTED 3MW PORT DG LCP,5.0,1.0,5.0,GMMCO SCOPE (ENGINE MOUNTED),2023-09-12 10:42:28,0.0
2,A,OEM,Unknown,GMMCOCABLE,ENGINE MOUNTED SENSORS GMMCO SCOPE,SKID MOUNTED 3MW PORT DG LCP,10.0,1.0,10.0,GMMCO SCOPE (ENGINE MOUNTED),2023-09-12 10:42:28,0.0
2,A,OEM,Unknown,GMMCOCABLE,ADDITIONAL SENSORS GMMCO SCOPE,SKID MOUNTED 3MW PORT DG LCP,10.0,1.0,10.0,GMMCO SCOPE (ENGINE MOUNTED),2023-09-12 10:42:28,0.0
2,A,1PX0.75-x,Unknown,MDG1-11,690V MSB FWD(7G1X2),SKID MOUNTED 3MW PORT DG LCP,35.0,1.0,35.0,"095_HL30D-C-24, 095_HL30D-C-25, 095_HL30D-C-26, 095_HL30C-C-01, 095_HL30D-C-21, 20-51-C-D-1-(325X250), 072_L30D-C-01, 30-52-C-D-2A-(250X200), 066_L20B-C-2A, 066_L20D-C-1A, 066_L20C-C-4A, 066_L20B-C-1A, THROUGH METALLIC FIXED CONDUIT, 1C, , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:50:37,0.0
2,A,5X1-x,Unknown,MDG1-12,690V MSB FWD(7G1X2),SKID MOUNTED 3MW PORT DG LCP,35.0,1.0,35.0,"095_HL30D-C-24, 095_HL30D-C-25, 095_HL30D-C-26, 095_HL30C-C-01, 095_HL30D-C-21, 20-51-C-D-1-(325X250), 072_L30D-C-01, 30-52-C-D-2A-(250X200), 066_L20B-C-2A, 066_L20D-C-1A, 066_L20C-C-4A, 066_L20B-C-1A, THROUGH METALLIC FIXED CONDUIT, 1C, , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:53:07,0.0
2,A,2X1-x,Unknown,MDG1-13,690V MSB FWD(7G1X2),SKID MOUNTED 3MW PORT DG LCP,35.0,1.0,35.0,"095_HL30D-C-24, 095_HL30D-C-25, 095_HL30D-C-26, 095_HL30C-C-01, 095_HL30D-C-21, 20-51-C-D-1-(325X250), 072_L30D-C-01, 30-52-C-D-2A-(250X200), 066_L20B-C-2A, 066_L20D-C-1A, 066_L20C-C-4A, 066_L20B-C-1A, THROUGH METALLIC FIXED CONDUIT, 1C, , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:51:33,0.0
2,A,24X1-x,Unknown,MDG1-14,690V MSB FWD(7G1X2),SKID MOUNTED 3MW PORT DG LCP,35.0,1.0,35.0,"095_HL30D-C-24, 095_HL30D-C-25, 095_HL30D-C-26, 095_HL30C-C-01, 095_HL30D-C-21, 20-51-C-D-1-(325X250), 072_L30D-C-01, 30-52-C-D-2A-(250X200), 066_L20B-C-2A, 066_L20D-C-1A, 066_L20C-C-4A, 066_L20B-C-1A, THROUGH METALLIC FIXED CONDUIT, 1C, , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:51:07,0.0
